partitionid,dataspaceid,repositoryid,alertid,title,alertkey,severity,component_type,sources
4,11,269,81023,CVE-2022-23593,v6:546661793b124340931fb8f28ae40868,1,8,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-23593""}}"
4,11,269,77168,CVE-2021-41205,v6:397cd657aa244b71ae04cdbb876e95b1,0,8,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-41205""}}"
4,11,269,76528,CVE-2021-41220,v6:3fec8edea7ab4491aecd65c1b945e81c,2,8,"{""GitHubAdvisories"":{""Url"":""https://github.com/tensorflow/tensorflow/security/advisories/GHSA-gpfh-jvf9-7wg5""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-41220""}}"
4,11,269,66446,CVE-2021-27376,v6:bdb98c6403214d849e5a57211f9b1025,2,7,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-27376""}}"
4,11,269,76527,CVE-2021-41211,v6:9e73af8eea344fbb9e338c4e5154e440,2,8,"{""GitHubAdvisories"":{""Url"":""https://github.com/tensorflow/tensorflow/security/advisories/GHSA-cvgx-3v3q-m36c""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-41211""}}"
4,11,269,81021,CVE-2022-23590,v6:4169a727321d47d8816d55716caf9c5f,1,8,"{""GitHubAdvisories"":{""Url"":""https://github.com/tensorflow/tensorflow/security/advisories/GHSA-pqrv-8r2f-7278""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-23590""}}"
4,11,269,66691,CVE-2021-33813,v6:f41de1dd31c24a578f9940ec50381275,2,3,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2021-33813""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-33813""}}"
4,11,269,79038,CVE-2020-13936,v6:f1df5f3f7e124bf8bf169434206c129c,3,3,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2020-13936""}}"
4,11,269,62108,CVE-2021-28163,v6:49be455cea974c9da0c777d11cb4c1c6,0,3,"{""GitHubAdvisories"":{""Url"":""https://github.com/eclipse/jetty.project/security/advisories/GHSA-j6qj-j888-vvgq""}}"
4,11,269,62237,CVE-2020-13955,v6:730a76ad522b427fbc95c78c1a3da5b1,1,3,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2020-13955""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2020-13955""}}"
4,11,269,66451,CVE-2020-35884,v6:aae950c4501548299cc8fca514889cd1,1,7,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2020-35884""}}"
4,11,269,74846,CVE-2021-40978,v6:e6a77c71d56b4f638e5247e28b92ae1c,2,8,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2021-40978""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-40978""}}"
4,11,269,82413,CVE-2022-0845,v6:34d170fb38284cca81fee507ea43fa4a,3,8,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2022-0845""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-0845""}}"
4,11,269,78197,CVE-2021-4118,v6:f18ddf9d5e66499385869234c3990390,2,8,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2021-4118""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-4118""}}"
4,11,269,75676,CVE-2021-38153,v6:6188cc5cf91c40038219f3de60967ad9,1,3,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-38153""}}"
4,11,269,78196,CVE-2021-44548,v6:662177f0c70b425db259dd6915633e9b,1,3,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-44548""}}"
4,11,269,72982,CVE-2021-32827,v6:468db02f3db44d169341187a63b21fc2,1,3,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-32827""}}"
4,11,269,62157,CVE-2021-23354,v6:6879b2fa9d6642528e3122d9fb2e6968,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2021-23354""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-23354""}}"
4,11,269,63215,CVE-2016-10744,v6:00fb37447c0a4c0297533cf8ddc533c0,1,2,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2016-10744""}}"
4,11,269,62233,CVE-2015-8860,v2:47da6162-d5fa-40ae-9eff-e82ab24149d9,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2015-8860""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2015-8860""}}"
4,11,269,62146,CVE-2016-3956,v2:f2fc6890-4f24-490d-8584-337344762663,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2016-3956""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2016-3956""}}"
4,11,269,66411,CVE-2019-15608,v6:101d8760df564510ba923b5a7a096214,1,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2019-15608""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2019-15608""}}"
4,11,269,62076,CVE-2013-2192,v6:e18de5a2eced4060a839b8199c64f06a,0,3,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2013-2192""}}"
4,11,269,61049,CVE-2020-36327,v6:740d36b06f0e4d8e977db2882305d0c5,2,6,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2020-36327""}}"
4,11,269,69427,CVE-2015-5237,v2:cfea7d9f-d199-4b62-bc64-72c6c1908372,1,3,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2015-5237""}}"
4,11,305,52804,WS-2017-0211,v2:e8fe12ab-85d8-417c-b046-13825b446eb9,2,1,"{""WhiteSource"":{""Url"":""https://technet.microsoft.com/en-us/library/security/3214296.aspx""}}"
4,11,421,64304,CST-E has determined that this component is not generally safe to use.,v6:4ab849ab388e49399288bffe025e9d96,1,2,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnpm%2Fpassport%2Freview-1.md""}}"
