partitionid,dataspaceid,repositoryid,alertid,title,alertkey,severity,component_type,sources
7,1791,137991,5696101,CST-E has determined that this component is not generally safe to use.,v6:2fa41a56c46042f0844b08925f57ecb8,2,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fmicrosoft.identity.serverauthorization%2Freview-2.md""}}"
7,1791,140420,4621304,WS-2017-0178,v2:175ee0fd-0af6-4b90-a0b4-5a815736303d,1,9,"{""WhiteSource"":{""Url"":""https://github.com/twbs/bootstrap/commit/f836473129819c2e348f821ed268451b9b8bf2e4""}}"
7,1791,151806,3949003,CVE-2015-1831,v6:65a388542e554687bf42e60a0a66211d,2,3,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2015-1831""}}"
7,1791,154691,3005242,CST-E has determined that this component is not generally safe to use.,v6:00934f27a6ef4aa1a5c098d088d2781d,1,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Flibsassnet%2Freview-1.md""}}"
7,1791,167492,4623891,CVE-2019-12205,v6:922c85cb88614422acb0b7795d9c3898,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-12205""}}"
7,1791,169456,6469045,CVE-2021-32796,v6:6a6f9b27dfeb408f8592e28cfc7e5a70,1,2,"{""GitHubAdvisories"":{""Url"":""https://github.com/xmldom/xmldom/security/advisories/GHSA-5fg8-2547-mr8q""}}"
7,1791,173266,4276567,CVE-2013-7454,v2:96c695f3-5ab7-49ad-a438-d1fa681bc261,3,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2013-7454""},""WhiteSource"":{""Url"":""https://nealpoole.com/blog/2013/07/xss-filter-bypass-in-validator-nodejs-module/""}}"
7,1791,173266,4276568,CVE-2014-8882,v6:dccbdfeb633443609ddedcb56b40951b,2,2,"{""GitHubAdvisories"":{""Url"":""https://github.com/chriso/validator.js/issues/152#issuecomment-48107184""},""NpmAudit"":{""Url"":""https://npmjs.com/advisories/42""},""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2014-8882""}}"
7,1791,173266,4276575,WS-2016-0058,v2:a2116ea6-c32b-4d68-9b86-a4f1bbb4ce98,2,2,"{""WhiteSource"":{""Url"":""https://github.com/linkedin/dustjs/issues/449""}}"
7,1791,180813,5881107,CVE-2010-2232,v2:ab8e6b7f-1694-4bee-be3d-687813c7478e,1,3,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2010-2232""}}"
